Plant,Disease,Symptoms,Cause,Fertilizer,Precautions,Treatment
Tomato,Tomato Early Blight,"Brown spots with concentric rings, yellowing leaves",Fungal infection caused by Alternaria solani,Balanced NPK fertilizer with adequate potassium,"Remove infected leaves, avoid overhead irrigation, maintain spacing",Apply appropriate fungicide according to label instructions
Tomato,Tomato Late Blight,"Dark water-soaked spots, rapid leaf browning, white growth under leaves",Phytophthora infestans,Balanced fertilizer with adequate potassium,"Avoid excess moisture, improve air circulation, remove infected plants",Use suitable fungicide according to label instructions
Plant,Disease,Symptoms,Cause,Fertilizer,Precautions,Treatment
Tomato,Tomato Leaf Mold,Yellow spots on upper leaf surface and olive-green mold underneath,Fungus favored by high humidity,Balanced NPK fertilizer,"Improve ventilation, avoid overhead watering, maintain plant spacing",Remove affected leaves and use suitable fungicide
Potato,Potato Early Blight,Dark circular spots with concentric rings on leaves,Fungus Alternaria solani,Balanced NPK fertilizer with sufficient potassium,"Use healthy seed, rotate crops, remove infected debris",Use appropriate fungicide according to label instructions
Potato,Potato Late Blight,"Dark lesions on leaves and stems, white fungal growth in humid conditions",Phytophthora infestans,Balanced fertilizer with adequate potassium,Avoid prolonged leaf wetness and improve field drainage,Apply suitable fungicide according to label instructions
Apple,Apple Scab,Olive-green to brown spots on leaves and fruit,Fungus Venturia inaequalis,Balanced fruit-tree fertilizer based on soil test,"Remove fallen leaves, maintain orchard sanitation",Use recommended fungicide according to label instructions
Apple,Apple Black Rot,Purple flecks developing into dark circular lesions,Fungus Botryosphaeria obtusa,Balanced fertilizer and adequate potassium,"Remove dead wood and infected fruit, maintain sanitation",Prune infected branches and use suitable fungicide
Grape,Grape Black Rot,Brown circular lesions on leaves and dark shriveled berries,Fungus Guignardia bidwellii,Balanced grape fertilizer based on soil test,"Remove infected berries, improve air circulation",Apply suitable fungicide according to label instructions
Corn,Corn Common Rust,Small reddish-brown rust-colored pustules on leaves,Fungus Puccinia sorghi,Balanced NPK fertilizer,Use resistant varieties and maintain proper crop nutrition,Use recommended fungicide when economically justified
Rice,Rice Blast,Diamond-shaped lesions on leaves and lesions on neck or panicle,Fungus Magnaporthe oryzae,"Balanced nitrogen, phosphorus and potassium; avoid excessive nitrogen",Use resistant varieties and avoid excessive nitrogen,Use recommended fungicide according to local agricultural guidance
Wheat,Wheat Rust,"Orange, yellow or brown rust-colored pustules on leaves",Fungal pathogens Puccinia species,Balanced NPK fertilizer based on soil test,Use resistant varieties and monitor fields regularly,Apply recommended fungicide when necessary
Cotton,Cotton Leaf Curl,"Upward curling leaves, vein thickening and reduced plant growth",Cotton leaf curl virus transmitted by whiteflies,Balanced cotton fertilizer with adequate potassium,Control whitefly vectors and remove severely infected plants,Manage whiteflies using integrated pest management
Chilli,Chilli Leaf Curl,"Leaf curling, yellowing and stunted plant growth",Viral infection commonly transmitted by whiteflies or other vectors,Balanced fertilizer with adequate micronutrients,Control insect vectors and remove severely infected plants,Use integrated pest management and vector control
Brinjal,Brinjal Little Leaf,"Very small leaves, excessive branching and stunted growth",Phytoplasma infection transmitted by leafhoppers,Balanced fertilizer based on soil test,Control leafhopper vectors and remove infected plants,Remove infected plants and manage insect vectors
Mango,Mango Powdery Mildew,"White powdery growth on flowers, leaves and young fruits",Fungus Oidium mangiferae,Balanced mango fertilizer with appropriate potassium,Maintain orchard ventilation and avoid excessive humidity,Apply suitable fungicide according to label instructions
Banana,Banana Sigatoka,Yellow streaks and brown or black lesions on leaves,Fungal disease caused by Mycosphaerella species,Balanced banana fertilizer with potassium,Remove heavily infected leaves and improve air circulation,Use recommended fungicide according to label instructions
Sugarcane,Sugarcane Red Rot,Red internal tissue with white patches and drying leaves,Fungus Colletotrichum falcatum,Balanced NPK fertilizer with adequate potassium,Use healthy disease-free setts and resistant varieties,Remove infected plants and use healthy planting material
Groundnut,Groundnut Leaf Spot,Brown or black spots on leaves causing premature leaf fall,Fungal pathogens Cercospora species,Balanced NPK and adequate calcium,Use crop rotation and maintain field sanitation,Apply suitable fungicide according to label instructions
Soybean,Soybean Rust,Small tan to reddish-brown lesions and pustules on leaves,Fungus Phakopsora pachyrhizi,Balanced fertilizer based on soil test,Use resistant varieties and monitor crop regularly,Apply recommended fungicide when needed
Papaya,Papaya Ringspot,"Mosaic patterns, leaf distortion and ring-shaped markings on fruit",Papaya ringspot virus transmitted by aphids,Balanced papaya fertilizer with adequate potassium,Control aphids and remove infected plants,Remove infected plants and manage aphid vectors
Corn,Corn Leaf Blight,"Long, narrow grayish-green to tan lesions on corn leaves that may enlarge and cause leaf drying","Fungal infection commonly associated with Bipolaris maydis","Balanced NPK fertilizer based on soil test; avoid excessive nitrogen","Use resistant varieties, maintain field sanitation, remove infected crop debris and avoid prolonged leaf wetness","Use an appropriate fungicide only when recommended by local agricultural guidance and always follow the product label"
